formulae,charges
['C27H52O5'],[0]
['C31H60O5'],[0]
['C39H76O5'],[0]
"['C36H62O31', 'C6H10O5', 'C6H11O5R']",[0]
['C5H16N2'],[2]
['C7H7O4'],[-1]
"['C17H16N5O10P', 'C17H17N5O10P']","[-1, -2]"
"['C10H11NO6', 'C10H10NO6']",[-1]
['C7H14N2O4'],[0]
['C19H38NO7P1'],[0]
['C21H44NO7P1'],[0]
['C18H36O9P1'],[-1]
['C20H40O9P1'],[-1]
['C4H7NO3'],[0]
['C6H8O9P'],[-3]
['C6H9O4'],[-1]
['C50H72O2'],[0]
['C3H3O4'],[-1]
['C19H38O7P1'],[-1]
['C21H42O7P1'],[-1]
['C46H70O2'],[0]
['C47H72O3'],[0]
['C47H72O2'],[0]
['C46H70O'],[0]
['C2H2O6P'],[-3]
"['C10H10N5O7P', 'C10H11N5O7P']",[-1]
['C7H10O5'],[-2]
['C7H10O5'],[-2]
['C7H8O5'],[-2]
['C7H9O6'],[-1]
"['C388H609O144N96P1S3', 'C15H27N2O9PRS']",[-1]
['C27H39N7O20P3S'],[-5]
"['C23H41N2O9PRS', 'C396H623O144N96P1S3']",[-1]
"['C25H45N2O9PRS', 'C398H627O144N96P1S3']",[-1]
['C31H50N7O18P3S'],[-4]
"['C394H621O144N96P1S3', 'C10H19O2SR', 'C21H39N2O9PRS']","[0, -1]"
['C37H62N7O18P3S'],[-4]
['C29H46N7O18P3S'],[-4]
"['C18H35O2SR', 'C402H637O144N96P1S3', 'C29H55N2O9PRS']","[0, -1]"
['C9H9O3'],[-1]
['C6H9O3'],"[0, -1]"
"['C396H621O144N96P1S3', 'C23H39N2O9PRS']",[-1]
['C31H48N7O18P3S'],[-4]
['C27H40N7O18P3S'],[-4]
"['C27H49N2O9PRS', 'C16H29O2SR', 'C400H631O144N96P1S3', 'C16H29O2RS']","[0, -1]"
['C3H4O7P'],[-3]
['C5H7O4'],[-1]
['C9H11N3O9P'],"[-3, -2]"
['C5H9NO3'],[0]
['C11H15N5O3S'],[0]
['C6H12O4S'],[0]
['C6H10O10P'],[-3]
['C2H4O'],[0]
['C3H6O2'],[0]
['C7H9NO5'],[-2]
['C7H14N2O3'],[0]
['C5H9NO4'],[0]
['C2H3O5P'],[-2]
['C10H12N5O10P2'],[-3]
['C15H21N5O14P2'],[-2]
['Ag'],[1]
"['C9H11N5O13P3', 'C9H12N5O13P3']",[-4]
['C5H4O5'],"[0, -2]"
['C3H7NO2'],[0]
['C3H7NO2'],[0]
['C6H11O9P'],[-2]
['C15H23N6O5S'],[1]
['C14H24N6O3S'],[2]
['C54H104O11P'],[-1]
['C54H98O11P'],[-1]
['C60H116O11P'],[-1]
['C60H110O11P'],[-1]
['C5H10O5'],[0]
['C71H115N1O17P2'],[-2]
"['C6H15N4O2X', 'C6H15N4OR', 'C21H36N4O17P2R3', 'C6H14N4OR']","[2, -1]"
['AsO3'],"[-3, -1]"
['C4H8O'],[0]
['C25H38N7O17P3S'],[-4]
['C10H15N2O3S'],[-1]
['C10H15N2O4S'],[-1]
['C4H9O3S'],[-1]
"['C5H7N2O5', 'C5H6N2O5']",[-2]
"['C23H41N2O8PRS', 'C396H623O143N96P1S3']",[-1]
['C48H87N3O15P2'],[-2]
['C40H71N3O15P2'],[-2]
['C39H74N1O8P1'],[0]
['C43H82N1O8P1'],[0]
['C7H15NO3'],[0]
['C28H44N8O17P3S'],[-3]
['C3H7NO2S'],[0]
"['C6H12N2O4S2', 'C7H14N2O4S']",[0]
['C9H13N3O5'],[0]
['C10H12N5O12P3'],[-4]
['C14H14N5O11P'],[-4]
['C12H23O2'],[-1]
['C10H12N5O10P2'],[-3]
['C20H30N6O12S2Se'],[-2]
['C10H12N5O13P3'],[-4]
['C3H6O3'],[0]
['C9H13N5O4'],[0]
['C9H12N5O13P3'],[-4]
['C9H13N5O4'],[0]
"['C10H12N4O7P', 'C10H11N4O7P']","[-2, -1]"
['C10H12N4O4'],[0]
['C5H9O7P2'],[-3]
['C16H24N2O16P2'],[-2]
['C10H13N2O14P3'],[-4]
['C9H11N2O8P'],[-2]
['C9H11N2O14P3'],[-4]
['C6H9N2O6P'],[-2]
['C6H11O9P'],[-2]
['C27H31N9O15P2'],"[-3, -2]"
['Fe'],[2]
['C27H42FeN9O12'],[0]
"['C25H46FeN6O8', 'C25FeH46N6O8']",[1]
['C25H46N6O8'],[-2]
"['C22H36N7O17P3S', 'C22H32N7O17P3S']","[0, -4]"
['C15H25O7P2'],[-3]
['C6H9O7'],[-1]
['C6H12O5'],[0]
['C8H20NO6P'],[0]
['C5H14NO6P'],[0]
['C9H18O11P'],[-1]
['C16H21N5O15P2'],[-2]
"['C10H11N5O20P5', 'C10H12N5O20P5']","[-7, -6]"
"['C163H281N2O89P4', 'C157H271N2O85P4']","[0, -11]"
"['C163H281N2O90P4', 'C169H291N2O94P4']","[0, -11]"
['C4H7O3'],[-1]
"['C145H251N2O75P4', 'C151H261N2O79P4']",[-11]
['C6H11O7'],[-1]
['C5H8NO4'],[-1]
['C3H5O4'],"[0, -1]"
['C3H7O6P'],[-2]
['C2H3O3'],[-1]
['C10H17O7P2'],[-3]
['XH2'],[0]
"['C10H16N3O6SSe', 'C20H30N6O12S2Se']","[-1, -2]"
['H'],"[0, 1]"
['H2'],[0]
['H2O'],[0]
['C4H9NO2S'],[0]
['C16H31O2'],[-1]
['C37H60N7O17P3S'],[-4]
['Hg'],[2]
['C124H220N2O51P2'],[-6]
['C6H9N3O2'],[0]
['C9H8O6'],[-2]
['C117H208N2O45P2'],[-6]
['C4H9NO3'],[0]
['C5H4N4O'],[0]
"['C139H241N2O70P4', 'C145H251N2O74P4']",[-11]
['C10H11N4O8P'],[-2]
['C8H7N'],[0]
['C96H170N2O38P2'],[-6]
['C8H12O11P'],[-3]
['C12H22O11'],[0]
['C110H196N2O39P2'],[-6]
['C114H202N2O39P2'],[-6]
['C68H127N2O20P'],[-2]
['C34H64NO12P'],[-2]
['C25H36N7O19P3S'],[-4]
